state,confirmedCasesIndian,confirmedCasesForeign,discharged,deaths,totalConfirmed,rural_Hospital,rural_Beds,urban_Hospital,urban_Beds,total_Hospitals,total_Beds,number
Andhra Pradesh,2075108,0,2058817,14468,2075108,193,6480,65,16658,258,23138,+91-866-2410978
Arunachal Pradesh,55314,0,55000,280,55314,208,2136,10,268,218,2404,+91-9436055743
Assam,618857,0,610253,6135,618857,1176,10944,50,6198,1226,17142,+91-6913347770
Bihar,726341,0,714157,12091,726341,930,6083,103,5936,1033,12019,104
Chandigarh,65651,0,64501,1076,65651,0,0,4,778,4,778,+91-9779558282
Chhattisgarh,1007264,0,993307,13594,1007264,169,5070,45,4342,214,9412,104
Delhi,1441792,1,1416286,25100,1441793,0,0,109,24383,109,24383,+91-11-22307145
Goa,179512,1,175641,3482,179513,17,1405,25,1608,42,3013,104
Gujarat,828245,1,817591,10100,828246,364,11715,122,20565,486,32280,104
Haryana,772041,14,761768,10059,772055,609,6690,59,4550,668,11240,+91-8558893911
Himachal Pradesh,228048,0,223666,3862,228048,705,5665,96,6734,801,12399,104
Jharkhand,349450,0,344186,5142,349450,519,5842,36,4942,555,10784,104
Karnataka,3000934,0,2955465,38275,3000934,2471,21072,374,49093,2845,70165,104
Lakshadweep,10406,0,10353,51,10406,9,300,0,0,9,300,104
Madhya Pradesh,793395,0,782702,10529,793395,334,10020,117,18819,451,28839,+91-755-2527177
Maharashtra,6645133,3,6493688,141288,6645136,273,12398,438,39048,711,51446,+91-20-26127394
Manipur,125549,0,123241,1992,125549,23,730,7,697,30,1427,+91-3852411668
Meghalaya,84707,0,83092,1477,84707,143,1970,14,2487,157,4457,108
Mizoram,138847,0,135644,525,138847,56,604,34,1393,90,1997,102
Nagaland,32161,0,31369,700,32161,21,630,15,1250,36,1880,+91-7005539653
Odisha,1051927,0,1041728,8437,1051927,1655,6339,149,12180,1804,18519,+91-9439994859
Puducherry,129248,0,127193,1878,129248,3,96,11,3473,14,3569,104
Punjab,603780,0,586815,16622,603780,510,5805,172,12128,682,17933,104
Rajasthan,955125,2,945899,8958,955127,602,21088,150,10760,752,31848,+91-141-2225624
Sikkim,32436,0,31837,406,32436,24,260,9,1300,33,1560,104
Tamil Nadu,2736689,6,2692451,36633,2736695,692,40179,525,37353,1217,77532,+91-44-29510500
Tripura,84939,0,84035,827,84939,99,1140,56,3277,155,4417,+91-381-2315879
Uttarakhand,344486,1,336937,7412,344487,410,3284,50,5228,460,8512,104
Uttar Pradesh,1710591,1,1687527,22914,1710592,4442,39104,193,37156,4635,76260,18001805145
West Bengal,1624161,0,1597036,19620,1624161,1272,19684,294,58882,1566,78566,"1800313444222,+91-3323412600,"
